year,month,drown,icecream,temp,sun,mon,tue,wed,thu,fri,sat
2018,1,177,86.3506,4.741,33,34,18,22,28,27,15
2018,2,162,104.8646,6.636,29,22,24,14,24,24,25
2018,3,212,110.259,9.046,25,21,25,25,33,41,42
2018,4,247,118.9803,12.229,55,40,30,26,27,38,31
2018,5,390,113.1661,19.135,70,52,49,57,56,50,56
2018,6,543,130.7924,22.132,83,79,72,63,48,82,116
2018,7,667,121.9881,24.14,132,72,105,87,83,69,119
2018,8,463,117.4776,23.618,89,53,53,83,53,68,64
2018,9,305,107.5556,20.888,67,63,30,30,25,31,59
2018,10,241,100.6894,15.03,29,46,35,38,30,26,37
2018,11,154,84.7973,9.128,25,13,18,20,16,27,35
2018,12,149,76.4443,6.664,26,26,19,15,23,20,20
2019,1,178,87.8427,4.642,20,20,31,22,29,26,30
2019,2,147,104.3315,4.909,23,28,22,18,24,13,19
2019,3,208,117.0509,8.312,44,21,25,17,31,31,39
2019,4,259,113.9285,13.712,41,33,44,31,37,38,35
2019,5,397,115.4475,16.935,62,47,60,61,53,53,61
2019,6,496,120.6757,21.239,104,56,43,45,59,69,120
2019,7,669,106.7424,23.957,113,103,80,92,89,89,103
2019,8,447,107.5158,23.679,69,49,43,51,86,60,89
2019,9,315,100.413,21.338,65,53,37,34,38,38,50
2019,10,226,91.7631,14.908,35,29,36,30,37,25,34
2019,11,184,78.9822,9.505,25,20,21,32,23,31,32
2019,12,166,75.1183,7.013,33,24,32,24,15,17,21
2020,1,172,83.3516,6.311,24,27,21,23,27,28,22
2020,2,185,98.8094,6.549,24,29,24,21,27,21,39
2020,3,238,108.1548,10.493,42,44,32,33,29,32,26
2020,4,240,102.0527,12.976,41,40,23,42,36,27,31
2020,5,476,113.3673,17.503,93,46,50,56,65,71,95
2020,6,600,123.6531,21.844,107,86,89,67,86,70,95
2020,7,769,119.5203,24.338,129,93,76,93,101,139,138
2020,8,537,124.592,24.19,110,82,72,63,49,59,102
2020,9,372,117.9225,20.581,59,55,57,49,50,34,68
2020,10,252,106.264,15.699,39,30,34,23,39,33,54
2020,11,173,99.5616,11.742,27,34,25,24,23,16,24
2020,12,163,90.4432,6.664,20,18,20,23,33,25,24
2021,1,210,106.0187,5.766,39,26,23,25,23,40,34
2021,2,192,119.2644,4.484,25,21,33,27,26,28,32
2021,3,253,129.3623,10.142,33,46,42,35,26,26,45
2021,4,291,132.8044,13.396,54,38,33,34,53,54,25
2021,5,427,129.0048,17.262,74,67,44,45,50,54,93
2021,6,671,132.8098,22.667,135,84,100,94,60,71,127
2021,7,694,128.2251,23.862,111,87,84,72,87,102,151
2021,8,598,126.8307,23.82,123,91,80,67,68,80,89
2021,9,402,111.2048,21.171,84,51,51,46,53,51,66
2021,10,245,110.2115,16.689,52,33,18,25,31,48,38
2021,11,176,98.7603,11.075,12,35,27,25,32,20,25
2021,12,178,90.8916,8.294,24,25,34,23,19,28,25
2022,1,173,105.1797,4.057,30,18,23,28,21,20,33
2022,2,177,116.7921,5.294,21,25,19,29,28,30,25
2022,3,260,126.4252,9.738,35,28,42,36,38,38,43
2022,4,272,127.5502,13.03,43,47,30,35,33,32,52
2022,5,452,123.643,18.06,99,74,71,41,35,56,76
2022,6,642,130.3437,21.942,110,88,93,89,81,77,104
2022,7,732,123.6779,24.373,137,119,88,77,80,95,136
2022,8,492,123.0368,23.847,92,88,73,62,42,47,88
2022,9,341,118.544,21.239,61,58,30,35,39,67,51
2022,10,232,115.3724,15.878,42,34,29,26,29,31,41
2022,11,201,98.7202,9.744,30,29,40,25,27,20,30
2022,12,194,94.2053,5.955,24,23,33,29,32,30,23
2023,1,198,98.6324,6.441,35,35,28,30,24,17,29
2023,2,198,119.2751,6.492,33,28,31,23,20,36,27
2023,3,233,122.0175,8.529,40,41,25,26,33,32,36
2023,4,296,126.679,13.126,63,25,26,34,34,47,67
2023,5,396,121.1606,17.891,69,70,55,38,52,51,61
2023,6,512,130.4626,21.434,96,58,52,51,81,70,104
2023,7,700,126.0569,24.411,131,106,91,94,72,75,131
2023,8,472,122.6748,24.035,73,76,65,56,69,49,84
2023,9,348,116.2177,21.49,56,57,42,42,35,44,72
2023,10,235,109.3279,16.278,43,43,32,28,24,32,33
2023,11,194,89.3353,10.805,33,18,26,37,35,23,22
2023,12,201,85.2839,8.468,30,27,12,23,36,32,41
